tweet,Positive,Negative,Neutral
rt acmobbdeep   high flyers crr militia boner squad ball sack weiner fc anal brownies,0.0,0.0,1.0
rt achussle bron pregame speeches be so trash though lmao,0.316,0.0,0.684
rt achussle niggas love cuffing hoes then acting surprised when they turn out to be hoes,0.284,0.112,0.605
rt achussle real rt ihitmodelsraw all jokes aside the hoes i know some of the coolest women ive ever met,0.1,0.0,0.9
rt achussle when yall having a good day amp she brings up a bitch from twitter ,0.155,0.203,0.642
rt achosenword of rain showersamp weepy fogof soft lightamp cool touchof wild windthat carry music of birdswho cease to soarthis ,0.102,0.102,0.796
rt afboycie brocklesnar ill fight you  ya big daft cunt ,0.0,0.551,0.449
rt  black americans are worse off under bho  well researched articlebound to elicit cries of uncle tom ,0.096,0.265,0.639
rt agricouture wow rt ringkledsuccess lmao rt badgalcash bet not ever come to my house again dirty bitch ,0.271,0.236,0.493
rt ahmichael  lava cakes bitches rtextralife,0.0,0.438,0.562
rt aiiamericangiri  may yank  amendment guards for drudge rest of internet  wiunion,0.0,0.0,1.0
rt aianhangover bae means before anyone else ive been here thinking its a ghetto word for babebaby,0.0,0.0,1.0
rt aianhangover what are you  on a scale of one to ten bitch,0.0,0.257,0.743
rt aianhangover be smart because you wont be pretty forever bitch,0.158,0.375,0.467
rt aianhangover i could never date someone who isnt goofy nobodys tryna date a bland boring ass bitch,0.0,0.425,0.575
rt aianhangover if ive ever offended you im sorrythat youre a sensitive lil bitch,0.0,0.345,0.655
rt aianhangover karma is only a bitch to bitches,0.0,0.562,0.438
rt aianhangover no girl sucks dick but somehow all dudes get head dudes only fuck bad bitches yet all these ugly girls getting ,0.0,0.608,0.392
rt aianhangover lets play a game called stop being a lil bitch,0.156,0.39,0.455
rt ailthese all these clocks and we still dont have time for these hoes ,0.0,0.0,1.0
rt ajcolemanbaby niggas be pressed for pussy it aint nothin instead of worryin who that bitch fuckin why dont u go get u some munnaaaa,0.0,0.228,0.772
rt   iammrechols   herself in the hoe section,0.0,0.0,1.0
rt amgllcceo social network got bitches heads like  ,0.202,0.315,0.484
rt amgllcceo when you die but a bad bitch walk in yo funeral  ,0.0,0.662,0.338
rt ap lifelong yankee fan puts aside rooting interest and returns lost red sox world series ring to rightful owner ,0.215,0.093,0.691
rt apthecreated bellabelcastro is the realest bitch i know lol,0.206,0.279,0.515
rt apnoticias  el republicano charlie baker elegido gobernador de massachusetts  apracecall ,0.0,0.0,1.0
rt arizzleindacut females think dating a pussy is cute now ,0.273,0.0,0.727
rt asapyams bitches out here not lovin they self enuff for the both of us juheard,0.0,0.206,0.794
rt asapyams fresh razor blades in my goth bitch stocking,0.163,0.27,0.567
rt asapford i hate when a nigga ask me where the hoes  nigga idfk ,0.0,0.252,0.748
rt asillypsycho dont be a bitch to me ill be a bigger one and ill win,0.306,0.249,0.445
rt atlprincess a real bitch know she gotta pluck dat nipple hair,0.0,0.275,0.725
rt  why did you give birth to me you bitch ,0.0,0.297,0.703
rt atypicalfemaie when a bitch gets smart and i look too cute to be ratchet ,0.292,0.195,0.513
rt ayeverb on twitter you hos can jus take a pic with your ass out and be somebodysmh,0.0,0.179,0.821
rt ayysian lifes a bitch because if it was a slut it would be easy,0.141,0.371,0.488
rt azealiabanks ladies its a full moon which means pussy power is in full effect yall better get some dick tonnnnniiiiiiggggghhht,0.12,0.136,0.744
rt  people r retarded for thinking you can eat clean food all day and lose weight calories are calories people,0.108,0.255,0.637
rt   uni suuuucks lolol you suck bitch,0.0,0.573,0.427
rt  my bestfriend got jumped by like  dudes n ur upset u have to pay fines  gtfo bitch,0.112,0.35,0.538
rt ayoungprince some pussy be so wet  gotta think about other things not to cum fast like damn i really failed the  grade,0.09,0.226,0.684
rt asinglebear how would i look if i had feathers instead of fur would i be able to eat from a bird feeder without getting judging ,0.0,0.0,1.0
rt asinglebear i accidentally ate a few fireflies last night while chewing some leaves i found the shameful yellow glow of my mouth ,0.0,0.237,0.763
rt aaronthegoat this bitch cant be serious ,0.114,0.42,0.466
rt abbeygoldd fuck joo musts broke this niggas heart stealin his bitch if he that hurt with her ,0.0,0.556,0.444
rt abortionfunds grateful for the profound hospitality of volunteers who open their homes to patients traveling long distances for abo ,0.136,0.0,0.864
rt actuallyamdolan wen u look liek trash n  complimentz u ,0.0,0.0,1.0
rt  bro forreal if you have beef with someone handle it your damn self dont be a lil bitch and bring other people in it be ,0.107,0.094,0.799
rt adamsank why does julia roberts seem completely shocked that shes been nominated hey julia  youre in a gown the jig is up ,0.0,0.11,0.89
rt adamschein great job by the yankees giving brian cashman a new contract the haters are just wrong cc chriscarlinsny,0.234,0.227,0.54
rt adamschein i think it is flat out wrong to blame brian cashman for the  yankees snytv,0.0,0.282,0.718
rt adamweinstein working theory this selective race abortion ban passed in florida today was just an excuse for redneck reps to say ,0.052,0.145,0.803
rt adddisonn smoke good weed with a bad bitch,0.191,0.48,0.329
rt  vivabased stealing a car and fuckin yo bitch,0.0,0.556,0.444
rt adolfniggler when an ugly bitch tells me to text her ,0.0,0.441,0.559
rt adolfhibsta first off you just a hoe if you can have sex with a man amp not have any feelings for him,0.0,0.0,1.0
rt adolfhibsta ratchet ass bitch rt  nicki minaj smashes up her boyfriends benz  ,0.0,0.399,0.601
rt adorebellaaa never trippin on no hoes,0.239,0.0,0.761
rt adoreelenaa kudabrazyy hella bored doing laundry like a  i sincerely hate your soul ,0.284,0.309,0.406
rt   haha lml wrd no nah de pussy shit lol ,0.322,0.4,0.278
rt   lml se pasa de shunsha  no mi joda w ur bitch waaa ,0.0,0.375,0.625
rt advicetowriters a bird doesnt sing because it has an answer it sings because it has a songmaya angeloupoetry writing,0.0,0.0,1.0
rt advil remember when people  one direction and gaga was having none of it i love that bitch,0.0,0.323,0.677
rt   rt  lmfao ravieloso how side bitches be when you scoop them up in the daytime ,0.232,0.177,0.591
rt  how i feel playing flappy bird ,0.265,0.0,0.735
rt   keyair angels amp female party promoters are not for me most party promoters are hoes amp them angel bitches are ,0.198,0.143,0.659
rt   tell a hoe no for the sanctity of your relationship we gotta stop fucking these ,0.0,0.253,0.747
rt  rt  iont got not type  bad bitches is the only thing that i like,0.436,0.0,0.564
rt airrogance bitch im legal so im ridin round like rambo ,0.253,0.241,0.506
rt aishamoodmills fox news mocks victim of ray rice elevator assault  think the message is take the   ,0.0,0.389,0.611
rt ajalapilgrim  so why everything u say ghetto u hadda associate it with jordans  isnt it obvious ,0.0,0.0,1.0
rt alaysiamichelle i just wanna get filthy rich amp have a nice big house full of bad bitches that i could fuck anytime i want ,0.229,0.324,0.446
rt alejvndrv  id rather be your ,0.0,0.0,1.0
rt alexdavisraps pacer is short for pussy,0.0,0.0,1.0
rt alexdavisraps fuck i forgot to wear a belt ima feel like a coon all day now,0.139,0.194,0.667
rt alexpappas rick scott refuses to appear on debate stage because charlie crist has an illegal electronic fan  ,0.105,0.164,0.731
rt alexalfarkh im a pussy,0.0,0.0,1.0
rt alexsimonson everyone pray for my brother nothin wrong with him he just a bitch lmaoo ,0.108,0.325,0.566
rt alexaschwerer jennchesss you and me both probably some ghetto piece of shit who has nothing better to do with their lives,0.0,0.231,0.769
rt alexiisstarr occupyslu ima fuck me a white bitch slap her and choke her this is what is being said now livestream interview w ,0.053,0.355,0.592
rt alexisdiamond with his bitch ass  buut thaats bae kinda lol ,0.141,0.41,0.449
rt alfanolisa  mariachappellen gee isnt cracker a racist term so tired of these race baiters,0.175,0.173,0.652
rt aliabunimah the people of the ghetto are rising up and fighting back whose side are you on gaza,0.0,0.122,0.878
rt alienaum chance acid rapper soccer hackeysacker cocky khaki jacket jacker slap happy faggot slapper,0.315,0.254,0.431
rt alissaonelove a nigga will talk down on a female with the same mouth he ate her pussy with,0.0,0.0,1.0
rt aliyahkorea whiteculture thinking weave is ratchet and ghetto while extensions are perfectly fine,0.333,0.0,0.667
rt allfucksgiven trentonstewart them hoes was actin up you had to do it,0.0,0.0,1.0
rt allhailtaron bruh thank you im about to start cumming in these hoes just to scare them ,0.121,0.155,0.725
rt allhailtaron i got the deals for the low i know you hoes lonely so fuck with these cuffing season specials  ,0.0,0.362,0.638
rt allknowa we all know a bitch boy named luke,0.0,0.322,0.678
rt allknowa we all know a bitch named natalie,0.0,0.352,0.648
rt allanson i got gatorades twinkies rice puddings pringles and cookies ,0.0,0.0,1.0
rt alleycelestine  kissin small lips is trash  yessssss,0.0,0.0,1.0
rt allieperalta  smh  hoes like this are fucking it up for actual loyal girls smh,0.264,0.217,0.519
rt allymarshalll good riddance bitches  ,0.296,0.398,0.306
rt almightyalijah told yo bitch get on her knees i dont want no ,0.119,0.316,0.566
rt almightyvinny im a soft  hoes dumb man,0.0,0.355,0.645
rt almightyvinny fucc hoes dats how i feel,0.0,0.0,1.0
rt almightyvinny i can tell you a freak bitch dont lie to me,0.0,0.427,0.573
rt aloneinmyownwar bitches always uploading pics of a famous couple doing simple shit like holding hands talkin bout want this bitch ,0.123,0.39,0.487
rt alvarezjackee i turn into a bitch real quick,0.0,0.388,0.612
rt  i mean sometimes eating a carton of double stuf oreos is your only option,0.0,0.0,1.0
rt alyssamichh tronkitty bad ,0.0,0.538,0.462
rt amediting youre responsible for the story inside you dont let selfdoubt cripple your creativity amediting amwriting writetip,0.234,0.0,0.766
rt ampowerblog velvethammer parent in phoenix says administrators made her son wear pink fairy wings on first day of high school ,0.0,0.0,1.0
rt amandamarcotte  all men interrupt women to quibble over irrelevant issues for the sole purpose of derailing a  he ,0.0,0.124,0.876
rt amandaner royaltyclubvp yeah after she fed up jealous skinny bitches and became one herself,0.104,0.327,0.569
rt amazingtiming bad monkey amazingtiming ,0.0,0.467,0.533
rt  im done wasting my time im just going cut a bitch off faster than i blink,0.0,0.417,0.583
rt ambeerrxoxo ill piss on a hoe,0.0,0.579,0.421
rt amberraynexxx taking my dad to dinnerwatching the nhl awards at the sports bar while both my dad and i bitch about this la ,0.108,0.137,0.755
rt amberrrnicollle do loyal bad bitches exist because i want one,0.247,0.416,0.337
rt amberrrnicollle you tweet about how youre never good enough for a guy maybe its because youre a hoe,0.0,0.131,0.869
rt amberrrnicollle youre such a fake bitch hahaha,0.248,0.476,0.276
rt amoreshonta  big bird has spoken   i was weak then i ,0.0,0.266,0.734
rt amoslouis broke hoes  words out my face,0.0,0.286,0.714
rt amyrosekathryn justice for british seagull spraypainted red by thugs the bird  be able to fly anymore  ,0.175,0.0,0.825
rt  i need to hit the lottery yo this work shit for the fucking birds,0.0,0.217,0.783
rt anabsurdbird i just realised my library books are overdue if anyones looking for a bad bitch,0.0,0.36,0.64
rt anabsurdbird of course the day i nip out with shit hair amp wearing my scruffybut favourite stolen hoodie is the best time to bump ,0.131,0.213,0.656
rt anastaciacole i like being asian and all but its a struggle having squinty eyes in every picture,0.094,0.158,0.749
rt  im sorry ya woman shouldnt be helping you out financially unless thats ya wife these hoes dumb,0.0,0.302,0.698
rt andreshakti just took electric stim to my pussy eeek back on kinklive in  mins ,0.0,0.0,1.0
rt  charlie crist says ocare has been great ccot tcot teaparty pjnet independents jjauthor bettinavla flgovscott ,0.215,0.0,0.785
rt  weilanthony pussy,0.0,0.0,1.0
rt androgyneadvent verballyabrupt yall got all the gay hoes,0.0,0.0,1.0
rt androgyneadvent the thing about houston and austin gays is  are hoes aint no wholesome bitches,0.264,0.0,0.736
rt andymilonakis i bet beyonces pussy tastes like a fresh caramel apple,0.375,0.0,0.625
rt andymilonakis you give these bitches the amex once they gonna act like a chilly snob and try to go get that cardigan,0.088,0.243,0.669
rt andyydotcom you gotta be a weak bitch to let a couple tweets get you out of character,0.0,0.324,0.676
rt   cant dm wigga cause i cant even get a follow back ,0.0,0.0,1.0
rt angelhaze bye bitch im blocking u rt onikallah angelhaze i drew you  ,0.0,0.416,0.584
rt  neymar fell like a bitch,0.269,0.409,0.323
rt anisasothick mssashabelle ur a wack bitch who sells her pussy for   lives with her mom then was homeless cut the  ,0.0,0.247,0.753
rt anisasothick now let me write your mom since i have her address amp let her know her daughter is in miami selling pussy for  ,0.0,0.0,1.0
rt anisasothick the next call will be to immigration w your id your sex reviews amp your ad bitch i warned you  you lie i have facts ,0.0,0.211,0.789
rt anncoulter invite me on your show you lying pussy rt  republicans are afraid of me they dont want to talk to me  ,0.061,0.176,0.763
rt anntelnaes halloween candy corn bird ,0.0,0.0,1.0
rt  i hate trailer trash ,0.0,0.552,0.448
rt  ima make you my bitch ,0.0,0.432,0.568
rt anointedmouf would be so happy so many bitches would be humbled rt djdmt how would you feel if they discontinued the sale of weave,0.149,0.131,0.721
rt anotherpotheadd read my lips bitch what my mouth isnt workin,0.0,0.275,0.725
rt antbreezyobb theses niggas hoes and these bitches greedy,0.0,0.589,0.411
rt anthonybialy senatorreid im sure this tweet will protect you from karmic payback bitch,0.249,0.193,0.558
rt anthonybialy well maryland is just a bunch of hateful rednecks anyway,0.147,0.224,0.629
rt antichill just had a convo wit my ex n she reminded me y she is my ex smh idk y i even answerd for this bitch,0.0,0.301,0.699
rt antijokejamal a dick has a sad life his hair is a mess his family is nuts his neighbors an asshole his best friends a pussy  ,0.212,0.325,0.464
rt antijokejamal if you honk your horn  seconds after the light turns green i will shut off my car lay on the hood and feed birds ,0.0,0.0,1.0
rt  yo motherdedication hoe  rich homie tono feat childish miguelito amp young pattycoming soon ,0.202,0.124,0.674
rt antzinherpantz this what yall hoes want  ,0.178,0.0,0.822
rt anunnakigod bitch what ocean is this ,0.0,0.388,0.612
rt aprilstearns rt  far right hero and allaround rwnj dsouza took to twitter on thanksgiving to mock trayvon martin a murdered ,0.129,0.259,0.612
rt arbogucci brandon phelps a hoe ass nigga and wen i see him ima smack him like da lil bitch he is ,0.093,0.272,0.634
rt   christians massacred by jihadi muslims while they slept including pastor his wife amp kids ,0.0,0.0,1.0
rt arianagrande oh torrence i cant stand your cheer leading squad but i love your pom poms ill feed you bon bons all night,0.191,0.183,0.626
rt ariaunadavon   whitdawgem bitch go to sleep you have work in the  lol yes  ,0.271,0.187,0.542
rt  dont be a bitch to someone who can out bitch you,0.406,0.0,0.594
rt ariesspears these young cats being drafted in the nba today are walking lotto tickets wait till these niggas find out that pussy ,0.0,0.098,0.902
rt arlisdonotchill this bitch played too much subway surfer ,0.173,0.324,0.504
rt  acmehandle nothing that the russians did in their support of the rebels surprises me putin views obama as a pussy,0.197,0.077,0.726
rt arrogantiii ona niggas ill really beat dat hoe up,0.0,0.394,0.606
rt  your mcm is a lil bitch,0.0,0.432,0.568
rt asaakira a bird just flew into my hotel room id rather get gangbanged by  mandingos for  days straight than experience that ,0.087,0.0,0.913
rt asapcruz omg seriously do bitches still love sosa,0.266,0.354,0.38
rt ashamador started off with a ozend up riding fo deeppull up to that club like muthaufckin ho you dont know ,0.116,0.0,0.884
rt ashleighrollin  kissin small lips is trash  trash,0.0,0.0,1.0
rt ashlynnfullmer this is my beach bitch tonydecola ,0.0,0.352,0.648
rt   thats  years away from legal drinking age and  year old pussy  ahaha eat ice cream not pussy bud,0.077,0.0,0.923
rt asiacakesss yall be makin your nigga microwaveable dinner meanwhile he out there eatin another bitch homemade dinner,0.0,0.183,0.817
rt  i hat that i paint my beard shit just eat some pussy and grow you one dawg quit tryin to shortcut it,0.0,0.153,0.847
rt asspicsandvines when you rubbing on her booty then start playing with her pussy with ya  gtgtgtgtgt ,0.101,0.0,0.899
rt assholeofdayear always a bit of irony in the air when chicks call strippers hoes then grind on yo dick  free to the same song stri ,0.111,0.151,0.738
rt assholeofdayear beyonce made too many hoodrat anthems to not have been a hoe at some point in her life,0.0,0.0,1.0
rt assholeofdayear i hope my kids  disappoint me by coming out ugly i got too many plans to get hoes indirectly with them,0.108,0.223,0.669
rt assholeofdayear rudy gay a faggot for not changing his last name once he got money,0.0,0.239,0.761
rt assholegod hate fags the answers yes,0.237,0.325,0.439
rt athietechamp destroying a team that talked trash before the game gtgt ,0.0,0.265,0.735
rt atlassmugged women only play casual game like kim k game amp anger bird they dont play real games like male power fantasy  or ,0.359,0.115,0.526
rt audrianareye thats my bitch man i swear,0.0,0.5,0.5
rt augustalsina  askaugust how tall are you i keep getting different answers from different people   ,0.0,0.0,1.0
rt austintoellen praying todays mampg pictures dont come out yellow ,0.217,0.0,0.783
rt autyaut i hate when people say you cant befriend a hoe how bitch  im only held accountable for my  its all ,0.0,0.294,0.706
rt avengerstratus theres nothing hotter than a pale albino chick who can play guitar,0.167,0.0,0.833
rt averyrondinelli  but then who is going to host the baddest bitch competition,0.0,0.302,0.698
rt   when the trash bag is so full  you can barely tie   ,0.0,0.0,1.0
rt awwadorable i want a pet monkey  ,0.245,0.0,0.755
rt awwbroyouahhoe big booty bitches always win,0.299,0.307,0.394
rt  this next generation is being raised to be a bunch of mindless pussies with no discipline,0.0,0.267,0.733
rt aygeraldjay the ape was like oh you niggas gon learn today  ,0.168,0.161,0.671
rt aymrcarter apologies trash whats understood aint gotta be explained,0.0,0.0,1.0
rt ayeyoitsdupree rape is never something to mock like this i stand with jada jadapose ,0.235,0.229,0.536
rt ayeedeb ray j is the perfect example of what happens when you give a lame nigga some pussy,0.172,0.13,0.698
rt ayoodesiee got like  hoes   baes ,0.333,0.0,0.667
rt ayyeevonte why do people have a problem with gay people know what fuck it i got a problem with you straight hoes now what,0.066,0.309,0.625
rt ayyyethatschubb mama said no pussy cats inside my dog house,0.0,0.18,0.82
rt azlanthegoat these hoe aint loyal a nigga who cheated on his girl  times and just broke up with him,0.0,0.351,0.649
rt azlanthegoat females always talk about how on point their nails and eyebrows are okay bitch your personality is still shit though,0.067,0.261,0.671
rt  cue the liberal lefts uncle tom attacks against tim scott in  tcot teaparty gop,0.0,0.172,0.828
rt baltsneakershow water is wet rt  nike dc is trash,0.0,0.0,1.0
rt barryclerjuste whatchu sayin hoe you know im the man hoe,0.0,0.0,1.0
rt bbflockajames point proven ima catch you bitch rt ajswagggg bbflockajames ok bud,0.129,0.224,0.647
rt bcniggas i know plenty of hoes in love with they niggas but it be the same bitch fuckin niggas,0.094,0.362,0.543
rt bgramboe  gotta link with bro rambo  fashoo nd we gotta pull up ona pussy boys,0.0,0.0,1.0
rt bigbrownlee the homie wersmylightaaaa got this bitch rocken,0.0,0.36,0.64
rt bighomiemarkie dese bitches aint shit i get em high and feed em dick,0.145,0.358,0.497
rt bigtqmb just call me a nigger cause thats what u really want to say at the end of the day ,0.07,0.188,0.743
rt bjayblast damn near in love with all them hoes when im with em,0.222,0.143,0.635
rt bjayblast i love my family but i wouldnt even need water to pop that red pill that hoe is getting taken swiftly ,0.221,0.0,0.779
rt bjayblast i really dont be tryna hoe nobody i eat we all eat literally,0.0,0.0,1.0
rt bjayblast rt  your man insecure cause you make him feel like he gotta compete with other guys stop being a hoe amp stop ,0.087,0.251,0.662
rt blackhilton glad none of my followers can say they fucked noway  yall hoes really make this a goal,0.128,0.188,0.684
rt blackhilton some of yall hoes thighs be so thick and cant even walk  yankee food,0.0,0.0,1.0
rt blvkout   best man ever rt trillag id fuck her right in the pussy  my ,0.203,0.169,0.628
rt  could you please refrain from being a dumb bitch,0.149,0.461,0.39
rt bornhvstler if i see a bitch coming at me like this  that mean i got  seconds to get up and get right  hoethea sat there ,0.092,0.139,0.769
rt  loyalty now lets get this money i got uu got me no hoes just us ,0.187,0.118,0.695
rt brandonbaray update u are still a bitch,0.0,0.432,0.568
rt  eli manning is fucking trash rap,0.0,0.0,1.0
rt  game over bitch hahahaha,0.0,0.487,0.513
rt bvsedxjesus i want a real relationship  no games no lies no side hoes just me and you ,0.06,0.433,0.507
rt  fine then dont rt little nigs mtvhottest one direction,0.167,0.0,0.833
rt blaff  im a  johnnyrohrcock,0.0,0.0,1.0
rt  paperchaysin thats right you dont marry hoes you rent em,0.0,0.0,1.0
rt baabyd lol im off this brooo bitches janky ,0.204,0.285,0.511
rt  honestyhour no bitch better try to fuck with my girl cause i will go off,0.124,0.406,0.47
rt babyanimalpics really bitch ,0.0,0.577,0.423
rt badadvicedog r u african because ur african bitch,0.0,0.388,0.612
rt badadvicedog when you look like trash and someone compliments you ,0.366,0.0,0.634
rt badbishrollaan  im hungry i wont give a bitch a time or day im trying take care business ,0.325,0.0,0.675
rt badnewsali look at ya boy  rt drydenneal nigga a faggot rt soleaux bruh rt worstrapiyrics chance the rapper ,0.089,0.196,0.714
rt badnewsali you really are a faggot if you say that match was bad stop watching,0.0,0.464,0.536
rt baddiebelladona instant mashed potatoes are trash ,0.0,0.0,1.0
rt  when charlie crist said rick scott just too shady for the sunshine state ,0.198,0.0,0.802
rt   my tryna make me go to church tommrow  hell nawl  bitch text me back,0.0,0.393,0.607
rt   this bitch think look like rihanna   ,0.221,0.336,0.442
rt   when im  them bitches getting erased ,0.0,0.394,0.606
rt  free tino lul hoe ,0.452,0.0,0.548
rt ballardddd if  or lyyssaaaaaa dont know you then you are not welcome on saturday bitches privileges,0.113,0.278,0.609
rt ballininhd behind every lame ass nigga is a lame ass bitch that is constantly telling him how real he is,0.0,0.522,0.478
rt   ima beat yo lil young ass quick plyin ,0.0,0.304,0.696
rt  i like good weed amp bad bitches dat can roll it up,0.26,0.356,0.385
rt bamberdelver lees hoe een gepeste jongen zich probeert te verdedigen ingezonden brief volkskrant pesten academiemm ,0.0,0.0,1.0
rt bananasunshinee people love to try to confront you yes bitch i said it now ,0.308,0.246,0.446
rt bananasunshinee yaaass bitch yaasss  soulja boy be having me so ,0.0,0.275,0.725
rt bandmankevo never catch feelings for a dumb bitch,0.0,0.542,0.458
rt  that bitch who the shit in yo eyes aint shit in my eyez  ,0.0,0.5,0.5
rt bandresdiana when that message say delivered but you see him posting sc storys with all his  ,0.0,0.0,1.0
rt bargamentoo when you realize you sent the message to your wife instead of your side hoe ,0.0,0.0,1.0
rt barryclerjuste basic bitch tweet shit like no one to talk to  times a day ,0.113,0.434,0.452
rt barryclerjuste yall want foreign bitches sooo bad but cant even pull local hoes,0.068,0.279,0.653
rt baseballfact at george steinbrenners first yankees news conference he said he wouldnt interfere in baseball decisions promising ,0.137,0.0,0.863
rt baseballphotos a  year old girl once struck out babe ruth and lou gehrig back to back and was banned from baseball for it yankees ,0.0,0.185,0.815
rt basedchasen big  been trash for years now lol its a basketball conference now,0.189,0.0,0.811
rt basedchasen ebola not scary at all while yall worried about ebola ima b getting hoes,0.147,0.123,0.729
rt baseddizenn line my shit up with god cards bitch ,0.127,0.448,0.424
rt basedjane screaming after wes bitch ass annalise is losing her damn mind she need to put the big girl panties back on htgawm,0.0,0.444,0.556
rt basedlordjesus try to crucify me and we tweakin hoe ,0.0,0.0,1.0
rt basedpaco im just a normal ass dude that has no hoes and happens to be funny every once in a while,0.113,0.223,0.664
rt basedpaco like a flat tire he need a fix  run up on em put the gun up on em ask a pussy nigga whats to ya bitch ,0.081,0.202,0.717
rt basedpaco the nfl is very equal this season everybody showed glimpses of being trash,0.0,0.0,1.0
rt basedpaco lol lebron bitch ass always making a spectacle look at me ass nigga,0.119,0.458,0.424
rt basedzae when lil b said  around town that i aint got no bitches what thats a damn lie nigga my nuts is my  ,0.186,0.185,0.629
rt basedunicorns fat bitch act like she couldnt follow back ive always wanted a fat bitch to follow me,0.1,0.303,0.598
rt basedunicorns humpday hoe,0.0,0.0,1.0
rt basedgodjaspoo vintagemonroe beat the pussy in so well her shit still hurting from a week ago ,0.123,0.294,0.583
rt basedomg drake look like he would lay his letterman jacket over a puddle for a bitch and she wit her man smh,0.094,0.229,0.677
rt basedomg im fukin yo bitch u mad as shit,0.0,0.639,0.361
rt bayonettes when you tweet somn just for laughs amp a bitch wanna spoil the fun by getting serious  ,0.254,0.199,0.547
rt bbillions making up handshakes with all my bitches now,0.0,0.302,0.698
rt bdarnon this is for the bitches who played me what up hoe,0.139,0.225,0.636
rt  hoes be on some august alsina is bae no bitch that dusty nigga you got  kids with who drives yo car amp still wears ,0.0,0.207,0.793
rt  waiting  days for pussy is like being grounded and looking at all the kids playing outside from your bedroom window,0.185,0.0,0.815
rt beeasyjrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy,0.0,0.261,0.739
rt beyoutifulpris recognize that im a star player amp leave them hoe fans of yours alone ,0.0,0.198,0.802
rt beaadawgg why do the trashiest really ghetto girls always get the most likes and comments on insta boys up and down their pictures ,0.119,0.0,0.881
rt beardkw lmfaooooo rt realraymondj which one of yall toothless hoes made this  ,0.0,0.167,0.833
rt beardedbearsman  the afl now has an american draft system bearbrother couple of yanks are on the playing lists at ,0.087,0.0,0.913
rt beardedgemini  i have no ,0.0,0.423,0.577
rt beardednixon poont gotta be trash,0.0,0.0,1.0
rt beautifulfool now he apologizing lol fuck that hoe and her shot up pussy,0.151,0.258,0.591
rt beautysraj ariana is probably the next beyonce bitch if you dont back the fuck up ,0.138,0.184,0.678
rt beauutifulnae  dont trust no  bitch,0.465,0.253,0.281
rt beemsperfect why yall aint tell me young thug nails look better then mine  lol fckin faggot,0.237,0.183,0.581
rt beeetzzz i feel bad for guys that give their girlfriends the world and the bitch still treats them like shit like damn what more do ,0.133,0.362,0.505
rt beenbasedb  shawn micheals amp razor ramon both had  noone had more than godfather though,0.0,0.0,1.0
rt belindaav  ugh thank you my bf still talks so a dumb bitch i dont ,0.111,0.492,0.398
rt bellefemlavie ganglandabby these niggaz bare backing any and every bitch out ,0.074,0.255,0.671
rt belowthaabelt snip snip hoe,0.0,0.0,1.0
rt bentaterb this is crazy no rb picked yet a rb won roy  ago rb was mvp ppl  how important our position is this is insane ,0.168,0.223,0.61
rt benevolentdjinn i hate seeing women carrying on about how they could fuck somebodys man ok trashy ass bitch,0.074,0.488,0.438
rt benjaminnorton remember the yellow badge nazis used israel is making muslim women carry a yellow badge order to pray in ,0.108,0.0,0.892
rt bestoffod these  grade hoes aint  ,0.0,0.0,1.0
rt bestofmessages lil hoe ,0.0,0.0,1.0
rt bestofnike nike beanies nikeporn ,0.0,0.0,1.0
rt bestofworldstar charlie sheen did the ice bucket challenge the right way ,0.106,0.0,0.894
rt bestsagittarius sagittarius can be compassionate towards other people when they want to be especially towards the ones they care ,0.312,0.0,0.688
rt bestvinefights when you finally see the white kid that called you nigger on call of duty ,0.0,0.212,0.788
rt bestporntitle hulkamania is running wild on that pussy,0.0,0.0,1.0
rt beyoncehasstd this hoe know that not her car lmaooo ,0.0,0.0,1.0
rt beyonceland bey lost her ring at the met gala jay found it amp instead of just giving it back he gave it to her as a mock proposal ,0.074,0.157,0.769
rt beyondbanksy breakingnews streetart graffiti new mural by duo etamcru in rome italy morning breakfast coffee trash ,0.0,0.0,1.0
rt beyondfatal  beyondfatal my bitch bruhhh  my nigga my nigga ,0.0,0.297,0.703
rt  twitter jail is pointless your suppose to tweet  they need instagram jail for hoes doing shout out for shout out all fucking ,0.0,0.0,1.0
rt biiimurray my iphone has  million times the storage of the  apollo  spacecraft computer they went to the moon i throw bird ,0.0,0.0,1.0
rt bidenshairplugs anybody who trashes their own neighborhood after a perceived injustice is a fucking moron ferguson,0.0,0.356,0.644
rt bidenshairplugs i cant believe the cops shot this fine young man there goes the cure for cancerfergusonoctober ,0.111,0.0,0.889
rt bidenshairplugs id like to issue a formal apology to israel for our piece of shit antisemitic president and his retarded secretary ,0.132,0.261,0.607
rt bidenshairplugs number of women denied birth control by hobby lobby  of democrat retards butthurt by the verdict ,0.191,0.139,0.67
rt biertempfeltrib one more from jimbowdenespnxm yankees wouldnt be letting polanco sit in minor leagues because theyre all about ,0.0,0.0,1.0
rt bigbagofscum im gonna start my own web md site and the only three diagnosis arequit being a pussylay off the drugscall ,0.0,0.0,1.0
rt bigbootyprobs happy  day big booty bitches ,0.294,0.31,0.397
rt bigdaddycooter vngelinaa yeah fuck lunch ill just eat pussy under the staircase by the foriegn language hallway,0.094,0.268,0.638
rt bigdaddytise  bald headed bitches mad at me because they look like this dont blame me blame your parents bmb ,0.229,0.248,0.523
